Quiz,Final
23.22,29.78
9.89,12.07
3.87,15.75
11.7,15.93
8.94,17.34
8.95,8.29
4.52,1.34
17.6,29.09
2.58,-1.66
15.66,15.7
11.25,15.8
12.51,6.0
17.94,25.19
12.11,19.85
13.17,16.64
2.0,1.26
14.24,19.94
11.97,18.45
8.85,12.54
21.2,22.21
1.37,10.76
10.55,13.08
16.19,23.63
15.11,21.16
7.75,9.23
12.38,17.52
7.13,19.75
23.92,25.21
11.93,13.63
8.97,14.38
7.02,5.13
4.89,8.56
11.79,7.58
4.99,8.43
12.86,20.57
11.06,18.79
21.75,33.86
4.15,11.66
5.06,15.51
8.57,-1.84
-0.73,-1.44
13.0,21.51
18.48,24.13
7.28,9.69
0.51,0.96
13.73,12.06
11.46,14.41
1.76,-0.49
17.7,28.22
2.53,4.98
19.98,24.12
13.46,24.77
27.19,33.02
3.29,3.21
5.6,17.65
7.01,-0.87
11.21,9.74
15.77,25.0
9.17,-1.1
22.46,27.87
0.32,-0.72
0.41,0.84
27.67,33.14
6.24,19.47
12.76,19.03
26.16,33.68
0.16,0.85
-0.81,1.12
6.0,9.15
5.67,6.0
20.03,27.71
8.96,9.52
23.86,34.79
6.41,14.61
2.67,4.4
4.67,19.07
16.1,12.38
3.42,-0.43
1.08,0.71
10.09,7.27
12.7,21.5
6.73,9.68
21.15,28.81
16.48,25.32
7.93,20.89
15.06,23.75
5.79,13.3
23.51,27.56
15.33,24.87
26.45,31.66
12.89,12.75
18.35,21.72
17.34,18.25
2.63,5.17
0.26,-0.85
21.16,33.53
17.18,23.87
19.72,30.07
8.2,13.13
10.56,21.97
7.03,14.72
7.57,19.02
26.28,32.2
20.03,29.28
8.91,20.13
13.85,8.84
2.8,11.54
2.4,2.69
20.29,22.36
4.26,12.03
22.01,29.88
12.94,10.88
21.07,23.6
5.21,-0.6
5.47,11.41
0.81,3.25
9.31,14.21
14.6,19.43
14.78,14.41
19.65,33.02
26.01,36.18
20.4,30.76
23.31,33.7
17.14,22.87
6.45,10.38
19.28,29.39
2.83,10.99
22.92,32.67
7.37,17.84
9.92,20.67
12.36,12.34
9.3,21.1
10.7,14.44
26.21,31.71
4.18,9.95
3.43,-0.06
11.77,22.57
3.07,9.2
18.71,24.21
20.9,31.34
13.39,22.92
17.31,24.45
8.22,7.66
11.24,14.01
9.2,17.34
18.37,29.25
23.75,32.0
6.42,-1.42
12.58,15.4
5.09,9.93
20.92,20.62
17.44,23.02
9.43,16.79
2.43,11.64
5.79,10.18
8.28,-1.69
10.88,19.25
18.1,26.15
9.23,12.39
4.57,2.88
7.76,7.72
7.66,19.84
6.56,21.25
7.64,3.85
11.21,24.01
10.46,9.12
4.94,6.61
7.5,11.27
11.95,16.09
21.14,31.4
17.73,23.56
2.13,10.58
13.25,14.17
12.65,22.67
4.6,5.31
4.07,11.82
3.08,7.85
20.14,28.2
13.62,15.82
0.8,4.13
3.89,7.58
8.22,15.28
11.86,25.06
18.22,24.8
7.72,7.73
11.78,13.04
14.78,23.04
1.08,0.03
22.94,28.71
10.29,14.01
14.43,21.39
12.21,17.84
9.05,14.33
11.24,14.11
28.81,32.78
2.66,7.4
4.35,3.76
6.51,11.74
16.45,6.8
25.44,33.51
14.5,17.78
6.34,11.96
9.04,14.16
2.64,0.12
14.96,10.89
18.36,27.07
5.45,6.64
12.18,8.33
8.84,11.23
7.05,17.14
12.69,18.98
14.77,24.55
17.21,22.32
3.95,-0.04
9.46,12.61
19.47,21.17
11.04,10.06
3.11,8.31
24.34,31.06
7.62,14.84
16.25,18.2
0.08,2.26
7.34,23.33
19.58,28.12
9.46,18.71
7.95,10.52
14.82,13.51
15.48,19.11
2.68,4.68
3.88,7.56
4.67,5.66
-1.34,-0.82
9.59,15.76
2.7,11.57
10.87,21.75
0.42,1.76
